tx_id,date,store_id,product_id,quantity,gross_sales,discount,net_sales,customers
124,2024-01-07,1,202,12,600.0,30.0,570.0,121
125,2024-01-07,2,101,60,180.0,0.0,180.0,117
126,2024-01-07,2,102,69,345.0,0.0,345.0,117
127,2024-01-07,2,201,14,350.0,7.0,343.0,117
128,2024-01-07,2,202,10,500.0,0.0,500.0,117
129,2024-01-07,3,101,97,291.0,0.0,291.0,129
130,2024-01-07,3,102,90,450.0,22.5,427.5,129
131,2024-01-07,3,201,19,475.0,0.0,475.0,129
132,2024-01-07,3,202,20,1000.0,0.0,1000.0,129
133,2024-01-07,4,101,62,186.0,3.72,182.28,96
134,2024-01-07,4,102,56,280.0,0.0,280.0,96
135,2024-01-07,4,201,10,250.0,5.0,245.0,96
136,2024-01-07,4,202,5,250.0,12.5,237.5,96
137,2024-01-07,5,101,97,291.0,0.0,291.0,147
138,2024-01-07,5,102,94,470.0,9.4,460.6,147
139,2024-01-07,5,201,21,525.0,10.5,514.5,147
140,2024-01-07,5,202,12,600.0,0.0,600.0,147
141,2024-01-08,1,101,54,162.0,0.0,162.0,100
142,2024-01-08,1,102,51,255.0,0.0,255.0,100
143,2024-01-08,1,201,13,325.0,0.0,325.0,100
144,2024-01-08,1,202,7,350.0,0.0,350.0,100
145,2024-01-08,2,101,42,126.0,0.0,126.0,72
146,2024-01-08,2,102,40,200.0,0.0,200.0,72
147,2024-01-08,2,201,8,200.0,0.0,200.0,72
148,2024-01-08,2,202,10,500.0,0.0,500.0,72
149,2024-01-08,3,101,65,195.0,0.0,195.0,94
150,2024-01-08,3,102,55,275.0,0.0,275.0,94
151,2024-01-08,3,201,11,275.0,0.0,275.0,94
152,2024-01-08,3,202,11,550.0,0.0,550.0,94
153,2024-01-08,4,101,51,153.0,0.0,153.0,96
154,2024-01-08,4,102,58,290.0,0.0,290.0,96
155,2024-01-08,4,201,10,250.0,0.0,250.0,96
156,2024-01-08,4,202,7,350.0,17.5,332.5,96
157,2024-01-08,5,101,82,246.0,0.0,246.0,126
158,2024-01-08,5,102,86,430.0,0.0,430.0,126
159,2024-01-08,5,201,20,500.0,10.0,490.0,126
160,2024-01-08,5,202,15,750.0,0.0,750.0,126
161,2024-01-09,1,101,54,162.0,0.0,162.0,80
162,2024-01-09,1,102,50,250.0,0.0,250.0,80
163,2024-01-09,1,201,11,275.0,5.5,269.5,80
164,2024-01-09,1,202,10,500.0,0.0,500.0,80
165,2024-01-09,2,101,52,156.0,0.0,156.0,82
166,2024-01-09,2,102,54,270.0,5.4,264.6,82
167,2024-01-09,2,201,8,200.0,0.0,200.0,82
168,2024-01-09,2,202,10,500.0,10.0,490.0,82
169,2024-01-09,3,101,86,258.0,5.16,252.84,144
170,2024-01-09,3,102,103,515.0,0.0,515.0,144
171,2024-01-09,3,201,25,625.0,12.5,612.5,144
172,2024-01-09,3,202,15,750.0,0.0,750.0,144
173,2024-01-09,4,101,60,180.0,0.0,180.0,104
174,2024-01-09,4,102,74,370.0,0.0,370.0,104
175,2024-01-09,4,201,10,250.0,0.0,250.0,104
176,2024-01-09,4,202,17,850.0,0.0,850.0,104
177,2024-01-09,5,101,108,324.0,0.0,324.0,129
178,2024-01-09,5,102,93,465.0,0.0,465.0,129
179,2024-01-09,5,201,21,525.0,0.0,525.0,129
180,2024-01-09,5,202,14,700.0,0.0,700.0,129
181,2024-01-10,1,101,56,168.0,0.0,168.0,92
182,2024-01-10,1,102,56,280.0,0.0,280.0,92
183,2024-01-10,1,201,10,250.0,12.5,237.5,92
184,2024-01-10,1,202,9,450.0,0.0,450.0,92
185,2024-01-10,2,101,56,168.0,0.0,168.0,94
186,2024-01-10,2,102,49,245.0,0.0,245.0,94
187,2024-01-10,2,201,15,375.0,0.0,375.0,94
188,2024-01-10,2,202,15,750.0,37.5,712.5,94
189,2024-01-10,3,101,75,225.0,4.5,220.5,110
190,2024-01-10,3,102,69,345.0,0.0,345.0,110
191,2024-01-10,3,201,17,425.0,0.0,425.0,110
192,2024-01-10,3,202,12,600.0,0.0,600.0,110
193,2024-01-10,4,101,47,141.0,0.0,141.0,75
194,2024-01-10,4,102,48,240.0,4.8,235.2,75
195,2024-01-10,4,201,12,300.0,0.0,300.0,75
196,2024-01-10,4,202,10,500.0,0.0,500.0,75
197,2024-01-10,5,101,69,207.0,4.14,202.86,103
198,2024-01-10,5,102,63,315.0,6.3,308.7,103
199,2024-01-10,5,201,17,425.0,0.0,425.0,103
200,2024-01-10,5,202,11,550.0,0.0,550.0,103
201,2024-01-11,1,101,49,147.0,0.0,147.0,86
202,2024-01-11,1,102,45,225.0,11.25,213.75,86
203,2024-01-11,1,201,13,325.0,0.0,325.0,86
204,2024-01-11,1,202,6,300.0,6.0,294.0,86
205,2024-01-11,2,101,77,231.0,0.0,231.0,112
206,2024-01-11,2,102,54,270.0,5.4,264.6,112
207,2024-01-11,2,201,12,300.0,0.0,300.0,112
208,2024-01-11,2,202,16,800.0,0.0,800.0,112
209,2024-01-11,3,101,96,288.0,0.0,288.0,128
210,2024-01-11,3,102,74,370.0,0.0,370.0,128
211,2024-01-11,3,201,15,375.0,18.75,356.25,128
212,2024-01-11,3,202,21,1050.0,0.0,1050.0,128
213,2024-01-11,4,101,70,210.0,0.0,210.0,113
214,2024-01-11,4,102,54,270.0,0.0,270.0,113
215,2024-01-11,4,201,17,425.0,0.0,425.0,113
216,2024-01-11,4,202,8,400.0,20.0,380.0,113
217,2024-01-11,5,101,101,303.0,6.06,296.94,146
218,2024-01-11,5,102,115,575.0,0.0,575.0,146
219,2024-01-11,5,201,17,425.0,21.25,403.75,146
220,2024-01-11,5,202,26,1300.0,0.0,1300.0,146
221,2024-01-12,1,101,50,150.0,0.0,150.0,80
222,2024-01-12,1,102,39,195.0,3.9,191.1,80
223,2024-01-12,1,201,5,125.0,0.0,125.0,80
224,2024-01-12,1,202,11,550.0,0.0,550.0,80
225,2024-01-12,2,101,49,147.0,0.0,147.0,86
226,2024-01-12,2,102,49,245.0,0.0,245.0,86
227,2024-01-12,2,201,12,300.0,0.0,300.0,86
228,2024-01-12,2,202,7,350.0,0.0,350.0,86
229,2024-01-12,3,101,116,348.0,0.0,348.0,140
230,2024-01-12,3,102,95,475.0,0.0,475.0,140
231,2024-01-12,3,201,20,500.0,0.0,500.0,140
232,2024-01-12,3,202,18,900.0,0.0,900.0,140
233,2024-01-12,4,101,50,150.0,0.0,150.0,90
234,2024-01-12,4,102,55,275.0,5.5,269.5,90
235,2024-01-12,4,201,8,200.0,0.0,200.0,90
236,2024-01-12,4,202,9,450.0,22.5,427.5,90
237,2024-01-12,5,101,117,351.0,0.0,351.0,139
238,2024-01-12,5,102,129,645.0,0.0,645.0,139
239,2024-01-12,5,201,19,475.0,0.0,475.0,139
240,2024-01-12,5,202,15,750.0,0.0,750.0,139
241,2024-01-13,1,101,54,162.0,0.0,162.0,108
242,2024-01-13,1,102,72,360.0,0.0,360.0,108
243,2024-01-13,1,201,11,275.0,0.0,275.0,108
244,2024-01-13,1,202,15,750.0,0.0,750.0,108
245,2024-01-13,2,101,59,177.0,3.54,173.46,109
246,2024-01-13,2,102,67,335.0,0.0,335.0,109
247,2024-01-13,2,201,11,275.0,0.0,275.0,109
248,2024-01-13,2,202,5,250.0,0.0,250.0,109
249,2024-01-13,3,101,119,357.0,7.14,349.86,174
250,2024-01-13,3,102,106,530.0,0.0,530.0,174
251,2024-01-13,3,201,15,375.0,7.5,367.5,174
252,2024-01-13,3,202,21,1050.0,0.0,1050.0,174
253,2024-01-13,4,101,77,231.0,0.0,231.0,142
254,2024-01-13,4,102,100,500.0,0.0,500.0,142
255,2024-01-13,4,201,12,300.0,6.0,294.0,142
256,2024-01-13,4,202,19,950.0,0.0,950.0,142
257,2024-01-13,5,101,92,276.0,0.0,276.0,147
258,2024-01-13,5,102,83,415.0,20.75,394.25,147
259,2024-01-13,5,201,25,625.0,0.0,625.0,147
260,2024-01-13,5,202,17,850.0,0.0,850.0,147
261,2024-01-14,1,101,87,261.0,13.05,247.95,123
262,2024-01-14,1,102,74,370.0,0.0,370.0,123
263,2024-01-14,1,201,17,425.0,0.0,425.0,123
264,2024-01-14,1,202,17,850.0,0.0,850.0,123
265,2024-01-14,2,101,61,183.0,0.0,183.0,111
266,2024-01-14,2,102,74,370.0,0.0,370.0,111
267,2024-01-14,2,201,14,350.0,7.0,343.0,111
268,2024-01-14,2,202,16,800.0,0.0,800.0,111
269,2024-01-14,3,101,135,405.0,0.0,405.0,176
270,2024-01-14,3,102,132,660.0,0.0,660.0,176
271,2024-01-14,3,201,29,725.0,0.0,725.0,176
272,2024-01-14,3,202,25,1250.0,0.0,1250.0,176
273,2024-01-14,4,101,73,219.0,4.38,214.62,114
274,2024-01-14,4,102,58,290.0,0.0,290.0,114
275,2024-01-14,4,201,14,350.0,17.5,332.5,114
276,2024-01-14,4,202,15,750.0,0.0,750.0,114
277,2024-01-14,5,101,109,327.0,0.0,327.0,153
278,2024-01-14,5,102,110,550.0,0.0,550.0,153
279,2024-01-14,5,201,11,275.0,13.75,261.25,153
280,2024-01-14,5,202,12,600.0,0.0,600.0,153
281,2024-01-15,1,101,44,132.0,2.64,129.36,83
282,2024-01-15,1,102,50,250.0,0.0,250.0,83
283,2024-01-15,1,201,8,200.0,10.0,190.0,83
284,2024-01-15,1,202,6,300.0,0.0,300.0,83
285,2024-01-15,2,101,59,177.0,0.0,177.0,97
286,2024-01-15,2,102,56,280.0,0.0,280.0,97
287,2024-01-15,2,201,14,350.0,0.0,350.0,97
288,2024-01-15,2,202,8,400.0,20.0,380.0,97
289,2024-01-15,3,101,120,360.0,0.0,360.0,165
290,2024-01-15,3,102,102,510.0,0.0,510.0,165
291,2024-01-15,3,201,24,600.0,0.0,600.0,165
292,2024-01-15,3,202,19,950.0,0.0,950.0,165
293,2024-01-15,4,101,48,144.0,0.0,144.0,98
294,2024-01-15,4,102,69,345.0,0.0,345.0,98
295,2024-01-15,4,201,10,250.0,0.0,250.0,98
296,2024-01-15,4,202,10,500.0,0.0,500.0,98
297,2024-01-15,5,101,85,255.0,0.0,255.0,135
298,2024-01-15,5,102,90,450.0,22.5,427.5,135
299,2024-01-15,5,201,17,425.0,0.0,425.0,135
300,2024-01-15,5,202,24,1200.0,0.0,1200.0,135
301,2024-01-16,1,101,67,201.0,0.0,201.0,82
302,2024-01-16,1,102,48,240.0,0.0,240.0,82
303,2024-01-16,1,201,8,200.0,0.0,200.0,82
304,2024-01-16,1,202,7,350.0,0.0,350.0,82
305,2024-01-16,2,101,53,159.0,3.18,155.82,87
306,2024-01-16,2,102,57,285.0,0.0,285.0,87
307,2024-01-16,2,201,7,175.0,0.0,175.0,87
308,2024-01-16,2,202,5,250.0,0.0,250.0,87
309,2024-01-16,3,101,100,300.0,0.0,300.0,148
310,2024-01-16,3,102,115,575.0,0.0,575.0,148
311,2024-01-16,3,201,20,500.0,0.0,500.0,148
312,2024-01-16,3,202,29,1450.0,0.0,1450.0,148
313,2024-01-16,4,101,68,204.0,4.08,199.92,107
314,2024-01-16,4,102,71,355.0,0.0,355.0,107
315,2024-01-16,4,201,19,475.0,0.0,475.0,107
316,2024-01-16,4,202,15,750.0,0.0,750.0,107
317,2024-01-16,5,101,64,192.0,0.0,192.0,124
318,2024-01-16,5,102,73,365.0,0.0,365.0,124
319,2024-01-16,5,201,23,575.0,0.0,575.0,124
320,2024-01-16,5,202,14,700.0,0.0,700.0,124
321,2024-01-17,1,101,47,141.0,0.0,141.0,73
322,2024-01-17,1,102,33,165.0,3.3,161.7,73
323,2024-01-17,1,201,13,325.0,6.5,318.5,73
324,2024-01-17,1,202,8,400.0,0.0,400.0,73
325,2024-01-17,2,101,56,168.0,8.4,159.6,96
326,2024-01-17,2,102,45,225.0,4.5,220.5,96
327,2024-01-17,2,201,15,375.0,0.0,375.0,96
328,2024-01-17,2,202,9,450.0,0.0,450.0,96
329,2024-01-17,3,101,65,195.0,0.0,195.0,100
330,2024-01-17,3,102,67,335.0,0.0,335.0,100
331,2024-01-17,3,201,14,350.0,0.0,350.0,100
332,2024-01-17,3,202,14,700.0,0.0,700.0,100
333,2024-01-17,4,101,55,165.0,0.0,165.0,90
334,2024-01-17,4,102,64,320.0,6.4,313.6,90
335,2024-01-17,4,201,8,200.0,0.0,200.0,90
336,2024-01-17,4,202,11,550.0,0.0,550.0,90
337,2024-01-17,5,101,95,285.0,0.0,285.0,130
338,2024-01-17,5,102,90,450.0,9.0,441.0,130
339,2024-01-17,5,201,26,650.0,0.0,650.0,130
340,2024-01-17,5,202,23,1150.0,0.0,1150.0,130
341,2024-01-18,1,101,35,105.0,0.0,105.0,80
342,2024-01-18,1,102,56,280.0,0.0,280.0,80
343,2024-01-18,1,201,9,225.0,11.25,213.75,80
344,2024-01-18,1,202,14,700.0,0.0,700.0,80
345,2024-01-18,2,101,91,273.0,5.46,267.54,105
346,2024-01-18,2,102,61,305.0,0.0,305.0,105
347,2024-01-18,2,201,11,275.0,0.0,275.0,105
348,2024-01-18,2,202,12,600.0,12.0,588.0,105
349,2024-01-18,3,101,86,258.0,0.0,258.0,133
350,2024-01-18,3,102,106,530.0,0.0,530.0,133
351,2024-01-18,3,201,12,300.0,0.0,300.0,133
352,2024-01-18,3,202,20,1000.0,0.0,1000.0,133
353,2024-01-18,4,101,69,207.0,0.0,207.0,101
354,2024-01-18,4,102,55,275.0,0.0,275.0,101
355,2024-01-18,4,201,13,325.0,0.0,325.0,101
356,2024-01-18,4,202,8,400.0,8.0,392.0,101
357,2024-01-18,5,101,71,213.0,0.0,213.0,100
358,2024-01-18,5,102,73,365.0,7.3,357.7,100
359,2024-01-18,5,201,13,325.0,16.25,308.75,100
360,2024-01-18,5,202,11,550.0,0.0,550.0,100
361,2024-01-19,1,101,53,159.0,0.0,159.0,102
362,2024-01-19,1,102,58,290.0,0.0,290.0,102
363,2024-01-19,1,201,10,250.0,0.0,250.0,102
364,2024-01-19,1,202,12,600.0,30.0,570.0,102
365,2024-01-19,2,101,32,96.0,0.0,96.0,65
366,2024-01-19,2,102,51,255.0,0.0,255.0,65
367,2024-01-19,2,201,6,150.0,0.0,150.0,65
368,2024-01-19,2,202,8,400.0,0.0,400.0,65
369,2024-01-19,3,101,72,216.0,0.0,216.0,112
370,2024-01-19,3,102,77,385.0,7.7,377.3,112
371,2024-01-19,3,201,14,350.0,17.5,332.5,112
372,2024-01-19,3,202,11,550.0,0.0,550.0,112
373,2024-01-19,4,101,53,159.0,3.18,155.82,94
374,2024-01-19,4,102,56,280.0,0.0,280.0,94
375,2024-01-19,4,201,9,225.0,0.0,225.0,94
376,2024-01-19,4,202,14,700.0,0.0,700.0,94
377,2024-01-19,5,101,95,285.0,0.0,285.0,129
378,2024-01-19,5,102,87,435.0,0.0,435.0,129
379,2024-01-19,5,201,21,525.0,0.0,525.0,129
380,2024-01-19,5,202,14,700.0,0.0,700.0,129
381,2024-01-20,1,101,84,252.0,12.6,239.4,106
382,2024-01-20,1,102,55,275.0,0.0,275.0,106
383,2024-01-20,1,201,8,200.0,0.0,200.0,106
384,2024-01-20,1,202,11,550.0,0.0,550.0,106
385,2024-01-20,2,101,75,225.0,0.0,225.0,122
386,2024-01-20,2,102,60,300.0,0.0,300.0,122
387,2024-01-20,2,201,9,225.0,0.0,225.0,122
388,2024-01-20,2,202,9,450.0,0.0,450.0,122
389,2024-01-20,3,101,100,300.0,0.0,300.0,154
390,2024-01-20,3,102,93,465.0,23.25,441.75,154
391,2024-01-20,3,201,19,475.0,9.5,465.5,154
392,2024-01-20,3,202,25,1250.0,25.0,1225.0,154
393,2024-01-20,4,101,56,168.0,3.36,164.64,90
394,2024-01-20,4,102,48,240.0,0.0,240.0,90
395,2024-01-20,4,201,10,250.0,0.0,250.0,90
396,2024-01-20,4,202,8,400.0,20.0,380.0,90
397,2024-01-20,5,101,116,348.0,0.0,348.0,164
398,2024-01-20,5,102,110,550.0,0.0,550.0,164
399,2024-01-20,5,201,20,500.0,0.0,500.0,164
400,2024-01-20,5,202,24,1200.0,24.0,1176.0,164
401,2024-01-21,1,101,67,201.0,4.02,196.98,110
402,2024-01-21,1,102,67,335.0,6.7,328.3,110
403,2024-01-21,1,201,15,375.0,7.5,367.5,110
404,2024-01-21,1,202,12,600.0,0.0,600.0,110
405,2024-01-21,2,101,55,165.0,0.0,165.0,92
406,2024-01-21,2,102,51,255.0,12.75,242.25,92
407,2024-01-21,2,201,13,325.0,0.0,325.0,92
408,2024-01-21,2,202,15,750.0,0.0,750.0,92
409,2024-01-21,3,101,76,228.0,0.0,228.0,96
410,2024-01-21,3,102,76,380.0,7.6,372.4,96
411,2024-01-21,3,201,19,475.0,0.0,475.0,96
412,2024-01-21,3,202,22,1100.0,0.0,1100.0,96
413,2024-01-21,4,101,67,201.0,0.0,201.0,86
414,2024-01-21,4,102,53,265.0,5.3,259.7,86
415,2024-01-21,4,201,11,275.0,0.0,275.0,86
416,2024-01-21,4,202,11,550.0,0.0,550.0,86
417,2024-01-21,5,101,117,351.0,17.55,333.45,171
418,2024-01-21,5,102,101,505.0,0.0,505.0,171
419,2024-01-21,5,201,32,800.0,0.0,800.0,171
420,2024-01-21,5,202,15,750.0,37.5,712.5,171
421,2024-01-22,1,101,50,150.0,3.0,147.0,87
422,2024-01-22,1,102,47,235.0,4.7,230.3,87
423,2024-01-22,1,201,17,425.0,0.0,425.0,87
424,2024-01-22,1,202,14,700.0,0.0,700.0,87
425,2024-01-22,2,101,46,138.0,0.0,138.0,87
426,2024-01-22,2,102,66,330.0,0.0,330.0,87
427,2024-01-22,2,201,7,175.0,3.5,171.5,87
428,2024-01-22,2,202,12,600.0,0.0,600.0,87
429,2024-01-22,3,101,72,216.0,4.32,211.68,94
430,2024-01-22,3,102,78,390.0,0.0,390.0,94
431,2024-01-22,3,201,13,325.0,0.0,325.0,94
432,2024-01-22,3,202,15,750.0,0.0,750.0,94
433,2024-01-22,4,101,57,171.0,0.0,171.0,108
434,2024-01-22,4,102,70,350.0,0.0,350.0,108
435,2024-01-22,4,201,13,325.0,0.0,325.0,108
436,2024-01-22,4,202,13,650.0,0.0,650.0,108
437,2024-01-22,5,101,78,234.0,0.0,234.0,117
438,2024-01-22,5,102,75,375.0,0.0,375.0,117
439,2024-01-22,5,201,14,350.0,7.0,343.0,117
440,2024-01-22,5,202,16,800.0,0.0,800.0,117
441,2024-01-23,1,101,60,180.0,0.0,180.0,77
442,2024-01-23,1,102,43,215.0,0.0,215.0,77
443,2024-01-23,1,201,9,225.0,4.5,220.5,77
444,2024-01-23,1,202,8,400.0,0.0,400.0,77
445,2024-01-23,2,101,39,117.0,0.0,117.0,92
446,2024-01-23,2,102,58,290.0,0.0,290.0,92
447,2024-01-23,2,201,11,275.0,0.0,275.0,92
448,2024-01-23,2,202,11,550.0,27.5,522.5,92
449,2024-01-23,3,101,88,264.0,0.0,264.0,99
450,2024-01-23,3,102,71,355.0,7.1,347.9,99
451,2024-01-23,3,201,16,400.0,0.0,400.0,99
452,2024-01-23,3,202,17,850.0,0.0,850.0,99
453,2024-01-23,4,101,49,147.0,2.94,144.06,76
454,2024-01-23,4,102,43,215.0,0.0,215.0,76
455,2024-01-23,4,201,6,150.0,0.0,150.0,76
456,2024-01-23,4,202,6,300.0,0.0,300.0,76
457,2024-01-23,5,101,95,285.0,0.0,285.0,138
458,2024-01-23,5,102,89,445.0,0.0,445.0,138
459,2024-01-23,5,201,22,550.0,0.0,550.0,138
460,2024-01-23,5,202,19,950.0,19.0,931.0,138
461,2024-01-24,1,101,62,186.0,0.0,186.0,87
462,2024-01-24,1,102,41,205.0,4.1,200.9,87
463,2024-01-24,1,201,9,225.0,0.0,225.0,87
464,2024-01-24,1,202,9,450.0,9.0,441.0,87
465,2024-01-24,2,101,57,171.0,0.0,171.0,92
466,2024-01-24,2,102,53,265.0,0.0,265.0,92
467,2024-01-24,2,201,10,250.0,12.5,237.5,92
468,2024-01-24,2,202,17,850.0,0.0,850.0,92
469,2024-01-24,3,101,72,216.0,0.0,216.0,98
470,2024-01-24,3,102,70,350.0,0.0,350.0,98
471,2024-01-24,3,201,10,250.0,0.0,250.0,98
472,2024-01-24,3,202,17,850.0,0.0,850.0,98
473,2024-01-24,4,101,46,138.0,0.0,138.0,68
474,2024-01-24,4,102,46,230.0,4.6,225.4,68
475,2024-01-24,4,201,6,150.0,3.0,147.0,68
476,2024-01-24,4,202,6,300.0,0.0,300.0,68
477,2024-01-24,5,101,95,285.0,14.25,270.75,140
478,2024-01-24,5,102,83,415.0,0.0,415.0,140
479,2024-01-24,5,201,15,375.0,0.0,375.0,140
